Jap	Eng	type	id
ハイドロゲドン	Hydrogeddon	EFFECT MONSTER	22587018
リロード	Reload	QUICKPLAY SPELL	22589918
トポロジック・ガンブラー・ドラゴン	Topologic Gumblar Dragon	EFFECT LINK MONSTER	22593417
不意打ち又佐	Mataza the Zapper	EFFECT MONSTER	22609617
遺言の仮面	The Mask of Remnants	SPELL	22610082
覚星輝士－セフィラビュート	Stellarknight Zefraxciton	EFFECT PENDULUM MONSTER	22617205
ライトロード・マジシャン ライラ	Lyla, Lightsworn Sorceress	EFFECT MONSTER	22624373
フェイク・フェザー	Fake Feather	TRAP	22628574
剛竜剣士ダイナスターP	Dinoster Power, the Mighty Dracoslayer	EFFECT FUSION MONSTER	22638495
電光千鳥	Lightning Chidori	EFFECT XYZ MONSTER	22653490
冥界の麗人イゾルデ	Isolde, Belle of the Underworld	EFFECT MONSTER	22657402
督戦官コヴィントン	Commander Covington	EFFECT MONSTER	22666164
海	Umi	SPELL FIELD	22702055
しっぺ返し	Retort	TRAP COUNTER	22747316
神の氷結	The Ice-Bound God	TRAP	22748199
風雲カラクリ城	Karakuri Showdown Castle	SPELL FIELD	22751868
スモール・ピース・ゴーレム	Small Piece Golem	EFFECT MONSTER	22754505
EMコール	Performapal Call	TRAP	22765132
巨大戦艦 クリスタル・コア	B.E.S. Crystal Core	EFFECT MONSTER	22790789
デーモンの宣告	Archfiend's Oath	SPELL CONTINUOUS	22796548
無差別崩壊	Blind Obliteration	TRAP	22802010
ディープアイズ・ホワイト・ドラゴン	Deep-Eyes White Dragon	EFFECT MONSTER	22804410
デス・ウイルス・ドラゴン	Doom Virus Dragon	EFFECT FUSION MONSTER	22804644
機甲忍者アース	Earth Armor Ninja	EFFECT MONSTER	22812068
融合再生機構	Fusion Recycling Plant	SPELL FIELD	22829942
BF－極北のブリザード	Blackwing - Blizzard the Far North	EFFECT TUNER MONSTER	22835145
霞の谷の戦士	Mist Valley Soldier	EFFECT TUNER MONSTER	22837504
汎神の帝王	Pantheism of the Monarchs	SPELL	22842126
シー・ランサー	Sea Lancer	EFFECT MONSTER	22842214
呪われし魔剣	Fiend Sword	NORMAL MONSTER	22855882
猿魔王ゼーマン	Zeman the Ape King	EFFECT SYNCHRO MONSTER	22858242
プロキシー・ドラゴン	Proxy Dragon	EFFECT LINK MONSTER	22862454
V・HERO インクリース	Vision HERO Increase	EFFECT MONSTER	22865492
超信地旋回	Spin Turn	TRAP	22866836
魔力誘爆	That Wacky Alchemy!	TRAP	22869904
ハイエナ	Hyena	EFFECT MONSTER	22873798
グリザイユの牢獄	Grisaille Prison	TRAP	22888900
ダイナレスラー・キメラ・Tレッスル	Dinowrestler Chimera T Wrextle	EFFECT FUSION MONSTER	22900219
ヴァンパイア・シフト	Vampire Takeover	TRAP	22900598
E・HERO サンライザー	Elemental HERO Sunrise	EFFECT FUSION MONSTER	22908820
緑樹の霊王	Green Phantom King	NORMAL MONSTER	22910685
星杯に選ばれし者	Chosen by the World Chalice	NORMAL MONSTER	22916281
黒魔導戦士 ブレイカー	Breaker the Dark Magical Warrior	EFFECT MONSTER	22923081
Aiドリング・ボーン	A.I.dle Reborn	QUICKPLAY SPELL	22933016
ベルキャットファイター	Bellcat Fighter	EFFECT LINK MONSTER	22953211
ベルキャットトークン	Bellcat Token	TOKEN NORMAL MONSTER	22953212
ワーム・ホール	Dimensionhole	SPELL	22959079
無視加護	Insect Neglect	SPELL CONTINUOUS	22991179
炎王の急襲	Onslaught of the Fire Kings	SPELL	22993208
百獣王 ベヒーモス	Behemoth the King of All Animals	EFFECT MONSTER	22996376
レッド・リブート	Red Reboot	TRAP COUNTER	23002292
コール・リゾネーター	Resonator Call	SPELL	23008320
炎王神獣 ガルドニクス	Fire King High Avatar Garunix	EFFECT MONSTER	23015896
魂のしもべ	Soul Servant	QUICKPLAY SPELL	23020408
メギラス・ライト	Megirus Light	NORMAL MONSTER	23032273
ナチュル・スタッグ	Naturia Stag Beetle	EFFECT MONSTER	23051413
冥帝エレボス	Erebus the Underworld Monarch	EFFECT MONSTER	23064604
幽麗なる幻滝	Waterfall of Dragon Souls	TRAP	23068051
No.68 魔天牢サンダルフォン	Number 68: Sanaphond the Sky Prison	EFFECT XYZ MONSTER	23085002
ローズ・ウィッチ	Rose Witch	EFFECT MONSTER	23087070
X－セイバー パシウル	X-Saber Pashuul	EFFECT TUNER MONSTER	23093604
X－セイバー アナペレラ	X-Saber Anu Piranha	NORMAL MONSTER	23115241
怨念の魂 業火	Goka, the Pyre of Malice	EFFECT MONSTER	23116808
火の玉トークン	Fireball Token	TOKEN NORMAL MONSTER	23116809
エレメント・デビル	Element Doom	EFFECT MONSTER	23118924
陰謀の盾	Intrigue Shield	TRAP	23122036
アモルファスP	Amorphous Persona	SPELL FIELD	23160024
影霊獣使い－セフィラウェンディ	Ritual Beast Tamer Zefrawendi	EFFECT PENDULUM MONSTER	23166823
鍵戦士キーマン	Key Man the Key Warrior	EFFECT MONSTER	23168060
リミッター解除	Limiter Removal	QUICKPLAY SPELL	23171610
No.93 希望皇ホープ・カイザー	Number 93: Utopia Kaiser	EFFECT XYZ MONSTER	23187256
C・HERO カオス	Contrast HERO Chaos	EFFECT FUSION MONSTER	23204029
魂を削る死霊	Spirit Reaper	EFFECT MONSTER	23205979
六武式風雷斬	Six Strike - Thunder Blast	TRAP	23212990
激動の未界域	Danger! Disaster!‎	SPELL FIELD	23213239
シュルブの魔導騎兵	Magical Cavalry of Cxulub	EFFECT PENDULUM MONSTER	23220863
BK 拘束蛮兵リードブロー	Battlin' Boxer Lead Yoke	EFFECT XYZ MONSTER	23232295
エヴォルダー・エリアス	Evolsaur Elias	EFFECT MONSTER	23234094
コストダウン	Cost Down	SPELL	23265313
強化支援メカ・ヘビーウェポン	Heavy Mech Support Platform	EFFECT UNION MONSTER	23265594
最期の同調	Final Gesture	SPELL	23269426
エレキタリス	Wattsquirrel	EFFECT MONSTER	23274061
オーバーリミット	Over Limit	TRAP	23282832
カラテマン	Karate Man	EFFECT MONSTER	23289281
イグナイト・アヴェンジャー	Igknight Lancer	EFFECT MONSTER	23296404
フレムベル・ヘルドッグ	Flamvell Firedog	EFFECT MONSTER	23297235
ビークロイド・コネクション・ゾーン	Vehicroid Connection Zone	SPELL	23299957
モンタージュ・ドラゴン	Montage Dragon	EFFECT SPSUMMON MONSTER	23303072
炎獄魔人ヘル・バーナー	Infernal Incinerator	EFFECT MONSTER	23309606
ルドラの魔導書	Spellbook of Knowledge	SPELL	23314220
念導力	Telepathic Power	TRAP	23323812
パラレル・セレクト	Parallel Selection	TRAP	23327298
リンク・ストリーマー	Link Streamer	EFFECT MONSTER	23331400
データトークン	Data Token	TOKEN NORMAL MONSTER	23331401
A BF－涙雨のチドリ	Assault Blackwing - Chidori the Rain Sprinkling	EFFECT SYNCHRO MONSTER	23338098
EMオオヤヤドカリ	Performapal Sellshell Crab	EFFECT PENDULUM MONSTER	23377694
劫火の舟守 ゴースト・カロン	Ghost Charon, the Underworld Boatman	EFFECT TUNER MONSTER	23379054
センジュ・ゴッド	Senju of the Thousand Hands	EFFECT MONSTER	23401839
センジュ・ゴッド	Senju of the Thousand Hands	EFFECT MONSTER	23401840
サシカエル	Tradetoad	EFFECT MONSTER	23408872
リボーン・ゾンビ	Reborn Zombie	EFFECT MONSTER	23421244
荒野	Wasteland	SPELL FIELD	23424603
天威龍－ヴィシュダ	Tenyi Spirit - Vishuda	EFFECT MONSTER	23431858
増殖するG	"Maxx ""C"""	EFFECT MONSTER	23434538
ウィキッド・リボーン	Wicked Rebirth	TRAP CONTINUOUS	23440062
インフェルノイド・リリス	Infernoid Devyaty	EFFECT SPSUMMON MONSTER	23440231
シンクロ・チェイス	Synchro Chase	SPELL CONTINUOUS	23442438
CX ダーク・フェアリー・チア・ガール	CXyz Dark Fairy Cheer Girl	EFFECT XYZ MONSTER	23454876
ネフティスの輪廻	Rebirth of Nephthys	RITUAL SPELL	23459650
マシンナーズ・エアレイダー	Machina Air Raider	EFFECT MONSTER	23469398
ソロモンの律法書	Solomon's Lawbook	TRAP	23471572
サモンリミッター	Summon Limit	TRAP CONTINUOUS	23516703
牙城のガーディアン	Stronghold Guardian	EFFECT MONSTER	23535429
ゲイザー・シャーク	Gazer Shark	EFFECT MONSTER	23536866
水精鱗－サラキアビス	Mermail Abyssalacia	EFFECT LINK MONSTER	23545031
次元融合	Dimension Fusion	SPELL	23557835
フェニキシアン・クラスター・アマリリス	Phoenixian Cluster Amaryllis	EFFECT MONSTER	23558733
聖剣カリバーン	Noble Arms - Caliburn	EQUIP SPELL	23562407
ボルト・ヘッジホッグ	Quillbolt Hedgehog	EFFECT MONSTER	23571046
RUM－ソウル・シェイブ・フォース	Rank-Up-Magic Soul Shave Force	SPELL	23581825
青天の霹靂	A Wild Monster Appears!	SPELL	23587624
RR－サテライト・キャノン・ファルコン	Raidraptor - Satellite Cannon Falcon	EFFECT XYZ MONSTER	23603403
虫除けバリアー	Insect Barrier	SPELL CONTINUOUS	23615409
死神鳥シムルグ	Simorgh, Bird of Calamity	EFFECT MONSTER	23619206
苦紋様の土像	Statue of Anguish Pattern	TRAP CONTINUOUS	23626223
ジェリービーンズマン	Jerry Beans Man	NORMAL MONSTER	23635815
アグレッシブ・クラウディアン	Raging Cloudian	TRAP	23639291
No.18 紋章祖プレイン・コート	Number 18: Heraldry Patriarch	EFFECT XYZ MONSTER	23649496
グラビティ・コントローラー	Gravity Controller	EFFECT LINK MONSTER	23656668
海の竜王	Sea King Dragon	NORMAL MONSTER	23659124
ヴァリアント・シャーク・ランサー	Valiant Shark Lancer	EFFECT XYZ MONSTER	23672629
マドルチェ・ハッピーフェスタ	Madolchepalooza	TRAP	23681456
無限起動ゴライアス	Infinitrack Goliath	EFFECT LINK MONSTER	23689428
凍氷帝メビウス	Mobius the Mega Monarch	EFFECT MONSTER	23689697
ギガンテック・ファイター	Colossal Fighter	EFFECT SYNCHRO MONSTER	23693634
原初の種	Primal Seed	SPELL	23701465
ズバババンチョー－GC	Zubababancho Gagagacoat	EFFECT MONSTER	23720856
デリンジャラス・ドラゴン	Dillingerous Dragon	EFFECT LINK MONSTER	23732205
妖仙獣 木魅	Yosenju Kodam	EFFECT MONSTER	23740893
魅惑の女王 LV5	Allure Queen LV5	EFFECT MONSTER	23756165
ストロング・ウィンド・ドラゴン	Strong Wind Dragon	EFFECT MONSTER	23770284
レインボー・フィッシュ	7 Colored Fish	NORMAL MONSTER	23771716
陽炎獣 バジリコック	Hazy Flame Basiltrice	EFFECT XYZ MONSTER	23776077
マシンナーズ・スナイパー	Machina Sniper	EFFECT MONSTER	23782705
魔界台本「オープニング・セレモニー」	Abyss Script - Opening Ceremony	SPELL	23784496
オルターガイスト・メモリーガント	Altergeist Memorygant	EFFECT LINK MONSTER	23790299
SRヘキサソーサー	Speedroid Hexasaucer	EFFECT PENDULUM MONSTER	23792058
ニトロユニット	Nitro Unit	EQUIP SPELL	23842445
アルカナフォースXXI－THE WORLD	Arcana Force XXI - The World	EFFECT MONSTER	23846921
ジャック・ワイバーン	Jack Wyvern	EFFECT MONSTER	23850421
オッドアイズ・グラビティ・ドラゴン	Odd-Eyes Gravity Dragon	EFFECT RITUAL MONSTER	23851033
武神器－オキツ	Bujingi Fox	EFFECT MONSTER	23857661
化石発掘	Fossil Excavation	TRAP CONTINUOUS	23869735
カラクリ将軍 無零	"Karakuri Shogun mdl 00 ""Burei"""	EFFECT SYNCHRO MONSTER	23874409
サイバー・ドラゴン・コア	Cyber Dragon Core	EFFECT MONSTER	23893227
悪魔嬢リリス	Lilith, Lady of Lament	EFFECT MONSTER	23898021
水精鱗－アビスリンデ	Mermail Abysslinde	EFFECT MONSTER	23899727
影光の聖選士	Resh Shaddoll Incarnation	TRAP	23912837
バグマンY	Crashbug Y	EFFECT MONSTER	23915499
砂塵の大嵐	Heavy Storm Duster	TRAP	23924608
ジュラック・プロトプス	Jurrac Protops	EFFECT MONSTER	23927545
幸運を告げるフクロウ	An Owl of Luck	EFFECT FLIP MONSTER	23927567
天威の龍拳聖	Draco Masters of the Tenyi	EFFECT LINK MONSTER	23935886
氷結界の術者	Cryomancer of the Ice Barrier	EFFECT TUNER MONSTER	23950192
ドリアードの祈り	Doriado's Blessing	RITUAL SPELL	23965037
ダブルバイト・ドラゴン	Doublebyte Dragon	EFFECT LINK MONSTER	23971061
武神－アラスダ	Bujin Arasuda	EFFECT MONSTER	23979249
青眼の究極竜	Blue-Eyes Ultimate Dragon	FUSION MONSTER	23995346
青眼の究極竜	Blue-Eyes Ultimate Dragon	FUSION MONSTER	23995347
青眼の究極竜	Blue-Eyes Ultimate Dragon	FUSION MONSTER	23995348
No.53 偽骸神 Heart－eartH	Number 53: Heart-eartH	EFFECT XYZ MONSTER	23998625
閃刀機関－マルチロール	Sky Striker Mecha Modules - Multirole	SPELL CONTINUOUS	24010609
イグナイト・マスケット	Igknight Paladin	NORMAL PENDULUM MONSTER	24019092
救急救命	Emergency Assistance	SPELL	24019261
ダブル・プロテクター	Twin-Shield Defender	EFFECT MONSTER	24025620
アヴァロンの魔女モルガン	Morgan, the Enchantress of Avalon	EFFECT MONSTER	24027078
闇の進軍	March of the Dark Brigade	SPELL	24037702
魔轟神グリムロ	Fabled Grimro	EFFECT MONSTER	24040093
暗躍のドルイド・ドリュース	Secret Sect Druid Dru	EFFECT MONSTER	24062258
自業自得	Just Desserts	TRAP	24068492
剛鬼スープレックス	Gouki Suprex	EFFECT MONSTER	24073068
ミステリーサークル	Crop Circles	TRAP	24082387
ヘビーメタルフォーゼ・エレクトラム	Heavymetalfoes Electrumite	EFFECT LINK MONSTER	24094258
融合	Polymerization	SPELL	24094653
二重魔法	Double Spell	SPELL	24096228
森の聖獣 ヴァレリフォーン	Valerifawn, Mystical Beast of the Forest	EFFECT TUNER MONSTER	24096499
ゴーストリックの猫娘	Ghostrick Nekomusume	EFFECT MONSTER	24101897
幻影の魔術士	Phantom Magician	EFFECT MONSTER	24103628
エーリアン・マザー	Alien Mother	EFFECT MONSTER	24104865
深海の戦士	Deepsea Warrior	EFFECT MONSTER	24128274
イグナイト・マグナム	Igknight Squire	NORMAL PENDULUM MONSTER	24131534
ドリル・バーニカル	Drill Barnacle	EFFECT MONSTER	24137081
不幸を告げる黒猫	A Cat of Ill Omen	EFFECT FLIP MONSTER	24140059
カラクリ無双 八壱八	"Karakuri Muso mdl 818 ""Haipa"""	EFFECT MONSTER	24150026
プロトロン	Protron	NORMAL MONSTER	24154052
ティンダングル・ジレルス	Tindangle Jhrelth	EFFECT FLIP MONSTER	24158464
ネフティスの蒼凰神	Cerulean Sacred Phoenix of Nephthys	EFFECT RITUAL MONSTER	24175232
闇味鍋パーティー	Potluck Party	SPELL CONTINUOUS	24181936
BK リベージ・ガードナー	Battlin' Boxer Rib Gardna	EFFECT MONSTER	24184846
ドローバ	Dorover	NORMAL MONSTER	24194033
センサー万別	There Can Be Only One	TRAP CONTINUOUS	24207889
幻影騎士団ダーク・ガントレット	The Phantom Knights of Dark Gauntlets	TRAP	24212820
破面竜	Unmasked Dragon	EFFECT MONSTER	24218047
神殿を守る者	Protector of the Sanctuary	EFFECT MONSTER	24221739
メンタルオーバー・デーモン	Overmind Archfiend	EFFECT SYNCHRO MONSTER	24221808
墓穴の指名者	Called by the Grave	QUICKPLAY SPELL	24224830
ガード・ブロック	Defense Draw	TRAP	24268052
グラディアル・リターン	Gladiator's Return	SPELL	24285858
ガンバラナイト	Ganbara Knight	EFFECT MONSTER	24291651
燃えさかる大地	Burning Land	SPELL CONTINUOUS	24294108
デビルゾア	Zoa	NORMAL MONSTER	24311372
レスキューロイド	Rescueroid	EFFECT MONSTER	24311595
墓守の偵察者	Gravekeeper's Spy	EFFECT FLIP MONSTER	24317029
氷帝家臣エッシャー	Escher the Frost Vassal	EFFECT MONSTER	24326617
魅惑の怪盗	The Bewitching Phantom Thief	NORMAL MONSTER	24348204
一回休み	Lose 1 Turn	TRAP CONTINUOUS	24348804
天球の聖刻印	Hieratic Seal of the Heavenly Spheres	EFFECT LINK MONSTER	24361622
突然進化	Evo-Instant	TRAP	24362891
光の霊堂	Mausoleum of White	SPELL FIELD	24382602
九蛇孔雀	Kujakujaku	EFFECT MONSTER	24384095
The suppression PLUTO	The Suppression Pluto	EFFECT MONSTER	24413299
マインフィールド	Minefieldriller	EFFECT MONSTER	24419823
ブービートラップE	Booby Trap E	TRAP	24425055
魔導変換	Mythical Bestiamorph	TRAP CONTINUOUS	24429467
ジェネクス・ブラスト	Genex Blastfan	EFFECT MONSTER	24432029
振り子刃の拷問機械	Pendulum Machine	NORMAL MONSTER	24433920
振り子刃の拷問機械	Pendulum Machine	NORMAL MONSTER	24433921
マーメイド・ナイト	Mermaid Knight	EFFECT MONSTER	24435369
コート・オブ・ジャスティス	Court of Justice	SPELL CONTINUOUS	24449083
ジェムナイト・ファントムルーツ	Gem-Knight Phantom Quartz	EFFECT LINK MONSTER	24484270
デトネイト・デリーター	Detonate Deleter	EFFECT LINK MONSTER	24487411
D.D.クロウ	D.D. Crow	EFFECT MONSTER	24508238
百景戦都ゴルディロックス	Landscaper Goldilocks	EFFECT MONSTER	24521754
達人キョンシー	Master Kyonshee	NORMAL MONSTER	24530661
シンクロン・リフレクト	Synchro Deflector	TRAP	24545464
月光舞獅子姫	Lunalight Leo Dancer	EFFECT FUSION MONSTER	24550676
天威龍－シュターナ	Tenyi Spirit - Shthana	EFFECT MONSTER	24557335
クリムゾン・ヘルフレア	Crimson Fire	TRAP COUNTER	24566654
ブンボーグ008	Deskbot 008	EFFECT PENDULUM MONSTER	24573625
王魂調和	King's Consonance	TRAP	24590232
アステル・ドローン	Star Drawing	EFFECT MONSTER	24610207
ガーゴイル・パワード	Ryu-Kishin Powered	NORMAL MONSTER	24611934
カラクリ小町 弐弐四	"Karakuri Komachi mdl 224 ""Ninishi"""	EFFECT TUNER MONSTER	24621460
ロスト	Disappear	TRAP	24623598
聖なる影 ケイウス	Qadshaddoll Keios	EFFECT FLIP MONSTER	24635329
おジャマジック	Ojamagic	SPELL	24643836
ナチュル・ホワイトオーク	Naturia White Oak	EFFECT MONSTER	24644634
銀河暴竜	Galaxy Tyranno	EFFECT MONSTER	24658418
コールド・エンチャンター	Cold Enchanter	EFFECT MONSTER	24661486
細菌感染	Germ Infection	EQUIP SPELL	24668830
幻奏の華歌聖ブルーム・プリマ	Bloom Prima the Melodious Choir	EFFECT FUSION MONSTER	24672164
チェンジ・デステニー	Changing Destiny	TRAP	24673894
ナチュル・マロン	Naturia Marron	EFFECT MONSTER	24694698
シューティング・スター・ドラゴン	Shooting Star Dragon	EFFECT SYNCHRO MONSTER	24696097
無限起動リヴァーストーム	Infinitrack River Stormer	EFFECT XYZ MONSTER	24701066
和魂	Nikitama	EFFECT SPIRIT MONSTER	24701235
ブライト・フューチャー	Bright Future	TRAP	24707869
救魔の標	Dwimmered Path	SPELL	24721709
エレクトリック・ワーム	Electric Virus	EFFECT MONSTER	24725825
サイバース・マジシャン	Cyberse Magician	EFFECT RITUAL MONSTER	24731391
除雪機関車ハッスル・ラッセル	Snow Plow Hustle Rustle	EFFECT MONSTER	24731453
ドラゴンメイド・シュトラール	Dragonmaid Strahl	EFFECT FUSION MONSTER	24799107
虚無を呼ぶ呪文	Vanity's Call	TRAP COUNTER	24838456
リングリボー	Linguriboh	EFFECT LINK MONSTER	24842059
ダストンのモップ	Magicalized Duston Mop	EQUIP SPELL	24845628
冥王竜ヴァンダルギオン	Van'Dalgyon the Dark Dragon Lord	EFFECT MONSTER	24857466
先史遺産ネブラ・ディスク	Chronomaly Nebra Disk	EFFECT MONSTER	24861088
デビルズ・サンクチュアリ	Fiend's Sanctuary	SPELL	24874630
メタルデビル・トークン	Metal Fiend Token	TOKEN NORMAL MONSTER	24874631
ファイアフェニックス＠イグニスター	Fire Phoenix @Ignister	EFFECT LINK MONSTER	24882256
バージェストマ・ピカイア	Paleozoic Pikaia	TRAP	24903843
魔界劇団－プリティ・ヒロイン	Abyss Actor - Leading Lady	EFFECT PENDULUM MONSTER	24907044
無頼特急バトレイン	Ruffian Railcar	EFFECT MONSTER	24919805
オーバー・レンチ	Overwind	TRAP	24920410
雪花の光	Sekka's Light	SPELL	24940422
TG パワー・グラディエイター	T.G. Power Gladiator	EFFECT SYNCHRO MONSTER	24943456
エレキーウィ	Wattkiwi	EFFECT TUNER MONSTER	24996659
鼓舞	Inspiration	TRAP	25005816
デコイロイド	Decoyroid	EFFECT MONSTER	25034083
チェーン・ヒーリング	Chain Healing	TRAP	25050038
旗鼓堂々	Swords at Dawn	QUICKPLAY SPELL	25067275
ブルーメンブラット	Rose Bud	SPELL	25090294
アイルの小剣士	The Little Swordsman of Aile	EFFECT MONSTER	25109950
YZ－キャタピラー・ドラゴン	YZ-Tank Dragon	EFFECT FUSION MONSTER	25119460
ヒュグロの魔導書	Spellbook of Power	SPELL	25123082
空牙団の豪傑 ダイナ	Dyna, Hero Fur Hire	EFFECT MONSTER	25123713
ライトエンド・ドラゴン	Light End Dragon	EFFECT SYNCHRO MONSTER	25132288
未界域調査報告	Danger! Response Team	SPELL	25140659
ジャンク・アンカー	Junk Anchor	EFFECT TUNER MONSTER	25148255
先史遺産マヤン・マシーン	Chronomaly Mayan Machine	EFFECT MONSTER	25163248
星遺物へ誘う悪夢	World Legacy's Nightmare	SPELL FIELD	25163979
ライフ・ストリーム・ドラゴン	Life Stream Dragon	EFFECT SYNCHRO TUNER MONSTER	25165047
転生炎獣Bバイソン	Salamangreat Beat Bison	EFFECT MONSTER	25166510
インフェルニティ・ドワーフ	Infernity Dwarf	EFFECT MONSTER	25171661
ストレートフラッシュ	Straight Flush	TRAP	25173686
サイバース・インテグレーター	Cyberse Integrator	EFFECT SYNCHRO MONSTER	25200959
異界の棘紫竜	Interplanetarypurplythorny Dragon	EFFECT MONSTER	25206027
B・F・N	Battlewasp - Nest	TRAP CONTINUOUS	25221249
白銀の翼	Silver Wing	EQUIP SPELL	25231813
レアメタル・ドラゴン	Rare Metal Dragon	EFFECT SPSUMMON MONSTER	25236056
妖仙獣 辻斬風	Yosenju Tsujik	EFFECT MONSTER	25244515
ビッグ・ピース・ゴーレム	Big Piece Golem	EFFECT MONSTER	25247218
ゴブリンドバーグ	Goblindbergh	EFFECT MONSTER	25259669
墓守の暗殺者	Gravekeeper's Assailant	EFFECT MONSTER	25262697
緊急ダイヤ	Urgent Schedule	QUICKPLAY SPELL	25274141
魔道化リジョン	Legion the Fiend Jester	EFFECT MONSTER	25280974
レベルアップ！	Level Up!	SPELL	25290459
九十九スラッシュ	Tsukumo Slash	QUICKPLAY SPELL	25334372
堕天使マスティマ	Darklord Nasten	EFFECT MONSTER	25339070
交響魔人マエストローク	Maestroke the Symphony Djinn	EFFECT XYZ MONSTER	25341652
寡黙なるサイコプリースト	Hushed Psychic Cleric	EFFECT MONSTER	25343017
スピリッツ・オブ・ファラオ	Spirit of the Pharaoh	EFFECT SPSUMMON MONSTER	25343280
ジェノサイド・ウォー	After the Struggle	SPELL	25345186
E・HERO シャイニング・フレア・ウィングマン	Elemental HERO Shining Flare Wingman	EFFECT FUSION MONSTER	25366484
旋風のボルテクス	Vortex the Whirlwind	EFFECT SYNCHRO MONSTER	25373678
召集の聖刻印	Hieratic Seal of Convocation	SPELL	25377819
ネフティスの語り手	Chronicler of Nephthys	EFFECT MONSTER	25397880
サイコパス	Psychic Path	SPELL	25401880
剣闘獣の闘器グラディウス	Gladiator Beast's Battle Gladius	EQUIP SPELL	25407406
魔法族の聖域	Secret Sanctuary of the Spellcasters	SPELL CONTINUOUS	25407643
霊魂鳥神－姫孔雀	Shinobaroness Peacock	EFFECT RITUAL SPIRIT MONSTER	25415052
霊魂鳥トークン	Shinobird Token	TOKEN NORMAL MONSTER	25415053
BF－アンカー	Blackwing - Bombardment	TRAP	25435080
堕天使ルシフェル	Darklord Morningstar	EFFECT MONSTER	25451652
ダークフレア・ドラゴン	Darkflare Dragon	EFFECT MONSTER	25460258
天輪の双星道士	Celestial Double Star Shaman	EFFECT SYNCHRO TUNER MONSTER	25472513
ゼンマイシャーク	Wind-Up Shark	EFFECT MONSTER	25484449
ブンボーグ009	Deskbot 009	EFFECT MONSTER	25494711
マシン・デベロッパー	Machine Assembly Line	SPELL CONTINUOUS	25518020
墓守の審神者	Gravekeeper's Oracle	EFFECT MONSTER	25524823
マジキャット	Magicat	EFFECT MONSTER	25531465
オルターガイスト・メリュシーク	Altergeist Meluseek	EFFECT MONSTER	25533642
幻影霧剣	Phantom Knights' Fog Blade	TRAP CONTINUOUS	25542642
ブローバック・ドラゴン	Blowback Dragon	EFFECT MONSTER	25551951
進化する翼	Transcendent Wings	QUICKPLAY SPELL	25573054
ツーマンセルバトル	Two-Man Cell Battle	SPELL CONTINUOUS	25578802
捕食植物キメラフレシア	Predaplant Chimerafflesia	EFFECT FUSION MONSTER	25586143
HEROの遺産	Legacy of a HERO	SPELL	25614410
魔界劇団－ビッグ・スター	Abyss Actor - Superstar	EFFECT PENDULUM MONSTER	25629622
ポセイドン・ウェーブ	Poseidon Wave	TRAP	25642998
悪魔嬢マリス	Malice, Lady of Lament	EFFECT MONSTER	25643346
クィーンズ・ナイト	Queen's Knight	NORMAL MONSTER	25652259
チェンジ・シンクロン	Changer Synchron	EFFECT TUNER MONSTER	25652655
ナチュル・スパイダーファング	Naturia Spiderfang	EFFECT MONSTER	25654671
デビル・ボックス	Bickuribox	FUSION MONSTER	25655502
完全燃焼	Burnout	TRAP	25669282
ドラグニティナイト－バルーチャ	Dragunity Knight - Barcha	EFFECT SYNCHRO MONSTER	25682811
ダストンローラー	Duston Roller	TRAP	25700114
憑依解放	Unpossessed	TRAP CONTINUOUS	25704359
ゼンマイニャンコ	Wind-Up Kitten	EFFECT MONSTER	25716180
メガリス・アラトロン	Megalith Aratron	EFFECT RITUAL MONSTER	25726386
名匠 ガミル	Master Craftsman Gamil	EFFECT MONSTER	25727454
閃刀機－イーグルブースター	Sky Striker Mecha - Eagle Booster	QUICKPLAY SPELL	25733157
機械改造工場	Machine Conversion Factory	EQUIP SPELL	25769732
A・O・J ガラドホルグ	Ally of Justice Garadholg	EFFECT MONSTER	25771826
伝説の柔術家	Legendary Jujitsu Master	EFFECT MONSTER	25773409
死のマジック・ボックス	Mystic Box	SPELL	25774450
調星師ライズベルト	Risebell the Star Adjuster	EFFECT MONSTER	25788011
禁じられた聖杯	Forbidden Chalice	QUICKPLAY SPELL	25789292
WW－クリスタル・ベル	Windwitch - Crystal Bell	EFFECT FUSION MONSTER	25793414
イルミラージュ	Al-Lumi'raj	EFFECT TUNER MONSTER	25795273
儀式の檻	Ritual Cage	SPELL CONTINUOUS	25796442
フュージョン・オブ・ファイア	Fusion of Fire	SPELL	25800447
インフェルノイド・アシュメダイ	Infernoid Piaty	EFFECT SPSUMMON MONSTER	25811989
森羅の仙樹 レギア	Sylvan Hermitree	EFFECT MONSTER	25824484
ゲート・ガーディアン	Gate Guardian	EFFECT SPSUMMON MONSTER	25833572
暗黒界の刺客 カーキ	Kahkki, Guerilla of Dark World	EFFECT MONSTER	25847467
FA－ブラック・レイ・ランサー	Full Armored Black Ray Lancer	EFFECT XYZ MONSTER	25853045
ヴァルキュルスの影霊衣	Nekroz of Valkyrus	EFFECT RITUAL MONSTER	25857246
DDD死謳王バイス・レクイエム	D/D/D Eulogy King Vice Requiem	EFFECT PENDULUM MONSTER	25857977
エンシェント・フェアリー・ドラゴン	Ancient Fairy Dragon	EFFECT SYNCHRO MONSTER	25862681
ナチュル・スティンクバグ	Naturia Stinkbug	EFFECT TUNER MONSTER	25866285
『攻撃』封じ	Block Attack	SPELL	25880422
