id	Jap_FullWidth	AutoSet
19594506	ネオスペース・コンダクター	
19596712	アビスケイル－ケートス	
19605133	ナチュル・レディバグ	 ,cat_Jap,include,ナチュル
19612721	円盤闘士	
19613556	大嵐	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
19619755	ＥＭ五虹の魔術師	
19636995	急き兎馬	
19642774	フルール・シンクロン	 ,level,<,2
19642889	コアキメイル・パワーハンド	
19665973	バトルフェーダー	
19667590	ゴゴゴギガース	 ,cat_Jap,include,ゴゴゴ
19671102	メールの階段	 ,cat_Jap,include,ティンダングル
19673561	ウィッチクラフト・スクロール	
19680539	聖騎士ガウェイン	 ,type,include,NORMAL__And,attribute,==,LIGHT
19684740	妖精騎士イングナル	
19700943	ドドドボット	
19733961	電池メン－単二型	
19737320	ゲート・キーパー	
19740112	干ばつの結界像	
19747827	真紅眼の黒竜剣	
19748583	聖剣を抱く王妃ギネヴィア	 ,cat_Jap,include,聖騎士
19763315	不運なリポート	
19801646	伝説のフィッシャーマン二世	 ,level,==,7__ ,attribute,==,WATER
19808608	ＤＤバフォメット	 ,cat_Jap,include,DD
19814508	Ｕ.Ａ.スタジアム	" ,cat_Jap,include,U.A.__And,type,include,MONSTER
 ,cat_Jap,include,U.A."
19827717	死者の生還	" ,type,include,MONSTER
 ,type,include,MONSTER"
19844995	召喚制限－パワーフィルター	
19847532	ヘルフレイムエンペラー	 ,attribute,==,FIRE
19870120	進撃の帝王	
19877898	アルティメット・インセクト ＬＶ７	
19885332	白の水鏡	 ,level,<,4__ ,race,==,FISH
19891131	クロノダイバー・レギュレーター	" ,cat_Jap,include,クロノダイバー
 ,type,include,XYZ"
19891310	ギアギアギア ＸＧ	 ,cat_Jap,include,ギアギア
19932396	侵略の一手	 ,cat_Jap,include,インヴェルズ
19943114	サイバネット・リグレッション	
19959563	戒めの龍	" ,cat_Jap,include,ライトロード__And,type,include,MONSTER
 ,(,1,.__ ,cat_Jap,include,ライトロード__And,type,include,MONSTER__.,),1,."
19959742	リチュア・シェルフィッシュ	
19974580	Ｃ・ドラゴン	 ,cat_Jap,include,C（チェーン）__And,type,include,MONSTER
19980975	ダイヤモンドダスト・サイクロン	
20003527	雲魔物－ニンバスマン	
20007374	集いし願い	 ,type,include,SYNCHRO__And,race,==,DRAGON
20032555	ギミック・パペット－ボム・エッグ	 ,cat_Jap,include,ギミック・パペット__And,type,include,MONSTER
20036055	旅人の到彼岸	 ,cat_Jap,include,彼岸
20050865	水晶機巧－シトリィ	 ,race,==,MACHINE
20056760	グレイドル・スライム	" ,cat_Jap,include,グレイドル
 ,cat_Jap,include,グレイドル"
20057949	フォーチュン・インハーリット	 ,cat_Jap,include,フォーチュンレディ
20060230	ハードアーマー	
20065322	クリボーを呼ぶ笛	
20065549	絶対魔法禁止区域	
20073910	天照大神	
20101223	神の息吹	 ,race,==,ROCK
20127343	Ａ・ジェネクス・チェンジャー	
20137754	流星方界器デューザ	" ,cat_Jap,include,方界
 ,type,include,MONSTER"
20138923	反魔鏡	
20140382	オーバーウェルム	 ,level,>,7
20154092	先史遺産カブレラの投石機	 ,cat_Jap,include,先史遺産
20155904	十二獣クックル	 ,cat_Jap,include,十二獣
20174189	ナチュル・バンブーシュート	
20188127	泉の精霊	 ,type,include,EQUIP
20191720	剛鬼ムーンサルト	" ,cat_Jap,include,剛鬼
 ,cat_Jap,include,剛鬼
 ,cat_Jap,include,剛鬼__And,type,include,MONSTER"
20193924	白夜の女王	
20201255	再起する剣闘獣	 ,cat_Jap,include,剣闘獣
20210570	レグルス	 ,type,include,FIELD
20228463	セレモニーベル	
20248754	Plunder Patrollship Moerk	" ,cat_Jap,include,Plunder Patroll
 ,type,include,EFFECT
 ,cat_Jap,include,Plunder Patroll__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,cat_Jap,include,Plunder Patroll"
20264508	サンダー・ショート	
20265095	慧炎星－コサンジャク	" ,cat_Jap,include,炎舞__And,type,include,MONSTER
 ,cat_Jap,include,炎舞__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
20277376	神竜 アポカリプス	 ,race,==,DRAGON
20277860	鎧武者ゾンビ	
20281581	ＥＭモモンカーペット	
20285786	マスター・ピース	 ,cat_Jap,include,ホープ__And,attribute,==,LIGHT
20292186	アーティファクト－デスサイズ	
20315854	フェアリー・ドラゴン	
20318029	雷源龍－サンダー・ドラゴン	 ,race,==,THUNDER
20343502	ティーチャーマドルチェ・グラスフレ	" ,cat_Jap,include,マドルチェ
 ,cat_Jap,include,マドルチェ"
20345391	空牙団の参謀 シール	" ,cat_Jap,include,空牙団
 ,cat_Jap,include,空牙団
 ,cat_Jap,include,空牙団__And,type,include,MONSTER"
20349913	銀河の施し	 ,cat_Jap,include,ギャラクシー__And,type,include,XYZ
20351153	幻角獣フュプノコーン	
20358953	シャーク・ザ・クルー	 ,level,<,4__ ,attribute,==,WATER
20366274	エルシャドール・ネフィリム	" ,attribute,==,LIGHT,lc,sumtype,tp
 ,cat_Jap,include,シャドール
 ,cat_Jap,include,シャドール__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
20366275	エルシャドール・ネフィリム	" ,attribute,==,LIGHT,lc,sumtype,tp
 ,cat_Jap,include,シャドール
 ,cat_Jap,include,シャドール__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
20368763	幻獣機ハリアード	 ,cat_Jap,include,幻獣機
20368764	幻獣機トークン	 ,cat_Jap,include,幻獣機
20374351	ラヴァル・ステライド	 ,cat_Jap,include,ラヴァル
20374520	門前払い	
20394040	バーバリアン１号	
20403123	ＥＭスライハンド・マジシャン	 ,cat_Jap,include,EM__And,type,not include,PENDULUM
20409757	時読みの魔術師	 ,cat_Jap,include,魔術師__Or,cat_Jap,include,オッドアイズ
20419926	ガンスリンガー・エクスキューション	" ,attribute,==,DARK
 ,cat_Jap,include,ヴァレル__And,type,include,MONSTER"
20426176	Plunder Patroll Booty	 ,cat_Jap,include,Plunder Patroll__And,type,include,MONSTER
20426907	機殻の再星	" ,level,>,5__ ,type,not include,NORMAL
 ,cat_Jap,include,クリフォート"
20436034	磁力の指輪	
20438745	灼熱王パイロン	
20447641	機殻の凍結	
20450925	ハネワタ	
20457551	鋼核収納	
20470500	アームズ・シーハンター	 ,level,<,3__ ,attribute,==,WATER
20474741	トライデント・ウォリアー	
20501450	コンセントレイト	
20513882	苦渋の黙札	 ,type,include,MONSTER
20522190	邪悪なるバリア －ダーク・フォース－	
20529766	超電磁稼動ボルテック・ドラゴン	
20537097	蒼穹の機界騎士	 ,cat_Jap,include,ジャックナイツ__And,type,include,MONSTER
20541432	ロックメイス	
20546916	ボタニカル・ライオ	
20563387	ＣＮｏ.８０ 葬装覇王レクイエム・イン・バーサーク	 ,type,include,XYZ
20579538	森羅の姫芽君 スプラウト	 ,cat_Jap,include,スプラウト__And,type,include,MONSTER
20584712	ＳＰＹＲＡＬ－タフネス	
20586572	ボマー・ドラゴン	
20590515	黄金郷のコンキスタドール	 ,cat_Jap,include,黄金郷
20590784	星墜つる地に立つ閃珖	 ,cat_Jap,include,スターダスト
20612097	紅き血染めのエルドリクシル	 ,cat_Jap,include,幻魔
20618081	転生炎獣ファルコ	 ,(,1,.__ ,type,include,TRAP__Or,type,include,SPELL__.,),1,.__And,cat_Jap,include,サラマングレイト
20624263	クジャック	
20630765	魔石術師 クルード	
20638610	竜の転生	 ,race,==,DRAGON
20644748	宇宙の収縮	
20654247	青眼の混沌龍	
20663556	イレカエル	 ,cat_Jap,include,ガエル
20665527	揚陸群艦アンブロエール	
20686759	Ｄ・レトロエンジン	
20700531	氷結界の修験者	
20720928	メタファイズ・ファクター	
20721759	ヘイト・クレバス	
20721928	Ｅ・ＨＥＲＯ スパークマン	
20721929	Ｅ・ＨＥＲＯ スパークマン	
20727787	武装解除	 ,type,include,EQUIP
20735371	バイバイダメージ	
20745268	魔弾－デスペラード	
20747792	ベリー・マジシャン・ガール	" ,cat_Jap,include,マジシャン・ガール__And,type,include,MONSTER
 ,cat_Jap,include,マジシャン・ガール"
20758643	彼岸の悪鬼 グラバースニッチ	" ,cat_Jap,not include,彼岸
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,cat_Jap,include,彼岸"
20765952	魔力無力化の仮面	 ,type,include,SPELL
20773176	炎獣の影霊衣－セフィラエグザ	
20781762	岩投げアタック	 ,race,==,ROCK
20785975	ＣＮｏ.１０３ 神葬零嬢ラグナ・インフィニティ	
20788863	サラマングレイト・ギフト	" ,type,include,MONSTER__And,cat_Jap,include,サラマングレイト
 ,type,include,MONSTER__And,cat_Jap,include,サラマングレイト
 ,cat_Jap,include,サラマングレイト"
20797524	トライクラー	
20802187	スピリット変換装置	" ,type,include,XYZ
 ,attribute,==,LIGHT__And,type,not include,TOKEN
 ,race,==,THUNDER__And,attribute,==,LIGHT"
20822520	魔導書庫ソレイン	" ,type,include,SPELL__And,cat_Jap,include,魔導書
 ,type,include,SPELL__And,cat_Jap,include,魔導書"
20831168	リザード兵	
20838380	シャーク・サッカー	 ,race,==,FISH
20848593	氷水	
20849090	Ｋｏｚｍｏ－フォアランナー	 ,cat_Jap,include,Kozmo__And,level,<,6
20855340	エヴォルド・プレウロス	 ,cat_Jap,include,エヴォルダー
20858318	必殺！黒蠍コンビネーション	
20862918	クロス・ブリード	" ,type,include,MONSTER
 ,type,include,MONSTER"
20871001	ブルー・ポーション	
20920083	スクラム・フォース	
20932152	クイック・シンクロン	 ,type,include,MONSTER
20939559	闇の住人 シャドウキラー	
20951752	裁きを下す者－ボルテニス	
20960340	クリスタル・アバター	
20985997	デストラクト・サークル－Ａ	
21007444	諸刃の活人剣術	 ,cat_Jap,include,六武衆
21015833	隼の騎士	
21044178	深淵に潜む者	
21051146	ブラッド・マジシャン－煉獄の魔術師－	
21051977	コロボックリ	
21065189	ファイアウォール・Ｘ・ドラゴン	
21070956	生贄の祭壇	
21074344	緑光の宣告者	 ,race,==,FAIRY
21076084	トリックスター・リンカーネイション	 ,cat_Jap,include,トリックスター
21082832	カオス・フォーム	 ,(,1,.__ ,id,!=,46986414__ ,id,!=,89631139
21088856	華麗なる密偵－Ｃ	
21105106	ｓｏｐｈｉａの影霊衣	 ,cat_Jap,include,影霊衣__And,type,include,SPELL
21113684	覇魔導士アーカナイト・マジシャン	 ,type,include,SYNCHRO,fc,sumtype,tp__And,race,==,SPELLCASTER,fc,sumtype,tp
21123811	コズミック・ブレイザー・ドラゴン	
21140872	真紅眼の黒刃竜	" ,race,==,WARRIOR__And,type,include,MONSTER
 ,type,include,EQUIP"
21142671	レッド・ノヴァ	" ,type,include,SYNCHRO__And,level,>,8__And,race,==,DRAGON
 ,attribute,==,FIRE__And,race,==,FIEND"
21143940	マスク・チェンジ	" ,cat_Jap,include,M・HERO__And,attribute,==,att
 ,cat_Jap,include,HERO
 ,cat_Jap,include,HERO__And,attribute,==,att"
21155323	巨人ゴーグル	
21159309	救世竜 セイヴァー・ドラゴン	
21175632	聖女ジャンヌ	
21179143	レプティレス・スポーン	 ,cat_Jap,include,レプティレス__And,type,include,MONSTER
21179144	レプティレストークン	 ,cat_Jap,include,レプティレス__And,type,include,MONSTER
21187631	オルターガイスト・ドラッグウィリオン	 ,cat_Jap,include,オルターガイスト__And,type,include,MONSTER
21200905	アロマセラフィ－ジャスミン	" ,race,==,PLANT
 ,race,==,PLANT"
21208154	邪神アバター	
21219755	破壊指輪	
21223277	聖騎士王アルトリウス	" ,cat_Jap,include,聖剣
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
21237481	零式魔導粉砕機	 ,type,include,SPELL
21239280	骨ネズミ	
21249921	ドラグニティナイト－ヴァジュランダ	 ,level,<,3__ ,cat_Jap,include,ドラグニティ__And,race,==,DRAGON
21250202	オッドアイズ・ペルソナ・ドラゴン	 ,cat_Jap,include,オッドアイズ__And,type,include,PENDULUM
21251800	光をもたらす者 ルシファー	
21254443	星遺物の導き	 ,cat_Jap,include,星遺物__And,type,include,MONSTER
21263083	ペイルビースト	
21296383	ユニバード	 ,type,include,SYNCHRO
21296502	トゥーン・ブラック・マジシャン	" ,cat_Jap,include,トゥーン
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.__And,cat_Jap,include,トゥーン
 ,type,include,TOON"
21297224	ヒステリック天使	
21313376	Ｎｏ.１４ 強欲のサラメーヤ	
21323861	酸の嵐	 ,race,==,MACHINE
21340051	ボアソルジャー	
21347810	レインボー・フラワー	
21350571	幻獣の角	 ,race,==,BEAST
21362970	ビーストライカー	
21364070	魔妖仙獣 独眼群主	
21377582	真竜剣皇マスターＰ	 ,type,include,CONTINUOUS
21390858	憑依装着－ダルク	 ,attribute,==,DARK
21414674	プロミネンス・ハンド	
21417692	ダーク・エルフ	
21420702	ブレイズ・キャノン－トライデント	 ,race,==,PYRO
21435914	冥界濁龍 ドラゴキュートス	
21441617	オルフェゴール・スケルツォン	 ,cat_Jap,include,オルフェゴール
21452275	アロマポット	
21454943	サイコ・コマンダー	
21466326	残骸爆破	
21481146	閃光のバリア －シャイニング・フォース－	
21488686	サイコ・ヒーリング	
21495657	宝竜星－セフィラフウシ	 ,(,1,.__ ,cat_Jap,include,竜星__Or,cat_Jap,include,セフィラ__.,),1,.__And,type,not include,TUNER
21496848	イビリチュア・テトラオーグル	
21501505	暗遷士 カンゴルゴーム	
21502796	ライトロード・ハンター ライコウ	
21507589	フィッシュアンドバックス	 ,race,==,FISH
21516908	ＨＳＲマッハゴー・イータ	 ,cat_Jap,include,SR__And,type,include,TUNER
21521304	Ｎｏ.３９ 希望皇ビヨンド・ザ・ホープ	 ,cat_Jap,include,希望皇ホープ
21522601	ウィッチクラフトマスター・ヴェール	 ,type,include,SPELL
21524779	ＯＫａサンダー	 ,race,==,THUNDER__And,attribute,==,LIGHT
21558682	ディフェンド・スライム	
21565445	海皇子 ネプトアビス	" ,cat_Jap,include,海皇__And,type,include,MONSTER
 ,cat_Jap,include,海皇
 ,cat_Jap,include,海皇"
21593977	処刑人－マキュラ	
21597117	ヒーロー見参	
21598948	モンスターＢＯＸ	
21607304	サブテラーマリス・ボルティニア	
21615956	ガード・オブ・フレムベル	
21620076	ペインペインター	
21623008	閃刀術式－ベクタードブラスト	
21636650	奇跡の残照	
21648584	ＲＲ－レディネス	 ,cat_Jap,include,RR__And,type,include,MONSTER
21663205	墓守の神職	
21672573	エンペラー・ストゥム	
21686473	ＤＤＤ運命王ゼロ・ラプラス	 ,cat_Jap,include,DDD__And,type,include,PENDULUM
21698716	宝玉獣 コバルト・イーグル	 ,cat_Jap,include,宝玉獣
21702241	反目の従者	
21715135	ガガガ学園の緊急連絡網	 ,cat_Jap,include,ガガガ
21744288	ウィッチクラフト・シュミッタ	" ,cat_Jap,include,ウィッチクラフト
 ,cat_Jap,include,ウィッチクラフト"
21767650	水精鱗－アビスマンダー	 ,cat_Jap,include,水精鱗
21768554	集団催眠	
21770260	スライム増殖炉	
21770261	スライムモンスタートークン	
21770839	オッドアイズ・ファンタズマ・ドラゴン	" ,race,==,DRAGON
 ,cat_Jap,include,オッドアイズ__And,type,include,PENDULUM
 ,type,include,PENDULUM"
21772453	花札衛－紅葉に鹿－	" ,cat_Jap,include,花札衛
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
21785144	ライトロード・ドラゴン グラゴニス	 ,cat_Jap,include,ライトロード__And,type,include,MONSTER
21790410	甲虫装機 センチピード	" ,cat_Jap,include,甲虫装機__And,type,include,MONSTER
 ,cat_Jap,include,甲虫装機"
21817254	メガ・サンダーボール	
21830679	クロック・ワイバーン	
21830680	クロックトークン	
21831848	ガガガドロー	 ,cat_Jap,include,ガガガ__And,type,include,MONSTER
21834870	天威無双の拳	 ,type,not include,EFFECT
21840375	隠された魔導書	 ,type,include,SPELL
21843307	コピー・ナイト	
21844576	Ｅ・ＨＥＲＯ フェザーマン	
21844577	Ｅ・ＨＥＲＯ フェザーマン	
21858819	Ｎｏ.ＸＸ インフィニティ・ダークホープ	
21879581	シンクロ・バリアー	
21887175	双穹の騎士アストラム	
21887179	月風魔	
21888494	選ばれし者	
21893603	星杯の妖精リース	" ,cat_Jap,include,星杯__And,type,include,MONSTER
 ,type,include,MONSTER"
21900719	閃光の双剣－トライス	
21908319	コザッキーの自爆装置	
21924381	ヒロイック・アドバンス	 ,level,<,4__ ,cat_Jap,include,ヒロイック
21947653	Ｅ－ＨＥＲＯ ライトニング・ゴーレム	
21954587	水精鱗－メガロアビス	" ,attribute,==,WATER
 ,cat_Jap,include,アビス__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,attribute,==,WATER"
21970285	竜角の狩猟者	 ,type,include,NORMAL
21977828	甲虫装機 ギガウィービル	" ,cat_Jap,include,甲虫装機
 ,cat_Jap,include,甲虫装機"
21984400	獣・魔・導	" ,cat_Jap,include,魔導獣__And,type,include,PENDULUM
 ,cat_Jap,include,魔導獣__And,type,include,PENDULUM
 ,type,include,PENDULUM"
21999001	光波双顎機	 ,cat_Jap,include,サイファー
22009013	インヴェルズ・モース	
22011689	捕食植物モーレイ・ネペンテス	
22020907	ヒーロー・シグナル	 ,level,<,4__ ,cat_Jap,include,E・HERO
22026707	黒魔族のカーテン	
22046459	巨大化	
22047978	バトル・ブレイク	 ,type,not include,MONSTER
22056710	ヴァンパイアジェネシス	 ,race,==,ZOMBIE
22061412	Ｅ・ＨＥＲＯ Ｔｈｅ シャイニング	 ,cat_Jap,include,E・HERO__And,type,include,MONSTER
22070401	スターヴ・ヴェネミー・リーサルドーズ・ドラゴン	 ,attribute,==,DARK,fc,sumtype,tp__And,type,include,PENDULUM,fc,sumtype,tp
22076135	水精鱗－アビスタージ	" ,attribute,==,WATER
 ,level,<,3__ ,attribute,==,WATER"
22082163	アマゾネスの意地	 ,cat_Jap,include,アマゾネス
22091345	ＥＭスパイク・イーグル	
22091647	ゴッドフェニックス・ギア・フリード	" ,type,include,EQUIP
 ,type,include,EQUIP"
22093873	Ｍ・ＨＥＲＯ カミカゼ	
22110647	幻獣機ドラゴサック	 ,cat_Jap,include,幻獣機
22110648	幻獣機トークン	 ,cat_Jap,include,幻獣機
22123627	強欲なウツボ	 ,attribute,==,WATER
22134079	墓守の伏兵	 ,cat_Jap,include,ネクロバレー
22138839	捕食植物バンクシアオーガ	
22147147	旋風剣	" ,cat_Jap,include,D-HERO
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
22159429	トリックスター・マジカローラ	 ,cat_Jap,include,トリックスター
22160245	Ｅ－ＨＥＲＯ インフェルノ・ウィング	
22171591	カバリスト	 ,race,==,PSYCHIC
22174866	アロマージ－カナンガ	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
22198672	キャッスル・リンク	
22200403	ヒュプノシスター	
22201234	ライトロード・バリア	
22205600	連鎖旋風	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
22211622	覇王門無限	 ,(,1,.__ ,type,include,XYZ__Or,type,include,PENDULUM__.,),1,.__And,race,==,DRAGON
22219822	トリックスター・マンドレイク	
22227683	ブンボーグ００４	" ,cat_Jap,include,ブンボーグ__And,type,include,MONSTER
 ,cat_Jap,include,ブンボーグ__And,type,include,MONSTER
 ,cat_Jap,include,ブンボーグ__And,type,include,MONSTER"
22318971	一角獣の使い魔	
22339232	ワイトメア	
22346472	破天荒な風	
22359980	銀幕の鏡壁	
22371016	Ａ・Ｏ・Ｊ アンノウン・クラッシャー	
22373487	ゲット・アウト！	
22377815	水面のアレサ	
22382087	風帝家臣ガルーム	
22386234	オーロラ・アンギラス	
22404675	雷帝家臣ミスラ	
22404676	家臣トークン	
22419772	ピクシーガーディアン	 ,type,include,SPELL
22423493	クリフォート・ゲニウス	 ,race,==,MACHINE__And,level,>,5
22431243	超進化薬	" ,race,==,REPTILE
 ,race,==,DINOSAUR"
22446869	水精鱗－ディニクアビス	" ,attribute,==,WATER
 ,cat_Jap,include,水精鱗__And,level,<,4"
22479888	クレイ・チャージ	
22493811	アリの増殖	 ,race,==,INSECT
22493812	兵隊アリトークン	 ,race,==,INSECT
22499034	真竜戦士イグニスＨ	 ,cat_Jap,include,真竜
22499463	ヴェノム・コブラ	
22510667	剛鬼ザ・ソリッド・オーガ	 ,cat_Jap,include,剛鬼
22512237	メカニカル・ハウンド	
22512406	覆面忍者ヱビス	" ,cat_Jap,include,忍者
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
22530212	マジック・ハンド	
22537443	セベクの祝福	
22539270	スクラップ・オイルゾーン	 ,cat_Jap,include,スクラップ
22567609	素早いモモンガ	
22586618	ダークネス・シムルグ	 ,race,==,WINGEDBEAST__And,attribute,==,WIND
22587018	ハイドロゲドン	
22589918	リロード	
22593417	トポロジック・ガンブラー・ドラゴン	
22609617	不意打ち又佐	
22610082	遺言の仮面	
22617205	覚星輝士－セフィラビュート	 ,(,1,.__ ,cat_Jap,include,テラナイト__Or,cat_Jap,include,セフィラ__.,),1,.
22624373	ライトロード・マジシャン ライラ	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
22628574	フェイク・フェザー	 ,cat_Jap,include,BF__And,type,include,MONSTER
22638495	剛竜剣士ダイナスターＰ	" ,cat_Jap,include,竜剣士__And,type,include,PENDULUM,fc,sumtype,tp
 ,cat_Jap,include,竜剣士__And,type,include,PENDULUM"
22653490	電光千鳥	
22657402	冥界の麗人イゾルデ	 ,race,==,ZOMBIE
22666164	督戦官コヴィントン	 ,id,==,...
22702055	海	
22747316	しっぺ返し	 ,id,==,code
22748199	神の氷結	 ,level,>,5__ ,attribute,==,WATER
22751868	風雲カラクリ城	 ,level,>,4__ ,cat_Jap,include,カラクリ
22754505	スモール・ピース・ゴーレム	
22765132	ＥＭコール	 ,cat_Jap,include,EM__And,defense,<,def
22790789	巨大戦艦 クリスタル・コア	
22796548	デーモンの宣告	
22802010	無差別崩壊	" ,(,1,.__ ,level,<,1__.,),1,.
 ,(,1,.__ ,level,<,11__.,),1,.
 ,(,1,.__ ,level,<,lv-1__.,),1,."
22804410	ディープアイズ・ホワイト・ドラゴン	
22804644	デス・ウイルス・ドラゴン	 ,type,include,MONSTER__And,attack,>,1500
22812068	機甲忍者アース	
22829942	融合再生機構	 ,id,==,24094653
22835145	ＢＦ－極北のブリザード	 ,level,<,4__ ,cat_Jap,include,BF
22837504	霞の谷の戦士	
22842126	汎神の帝王	" ,cat_Jap,include,帝王__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,cat_Jap,include,帝王__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
22842214	シー・ランサー	 ,race,==,FISH
22855882	呪われし魔剣	
22858242	猿魔王ゼーマン	 ,type,include,MONSTER
22862454	プロキシー・ドラゴン	 ,type,include,MONSTER
22865492	Ｖ・ＨＥＲＯ インクリース	 ,cat_Jap,include,V・HERO__And,level,<,4
22866836	超信地旋回	" ,race,==,MACHINE__And,attribute,==,EARTH__And,type,include,XYZ
 ,race,==,MACHINE__And,attribute,==,EARTH__And,type,include,XYZ"
22869904	魔力誘爆	 ,type,include,SPELL
22873798	ハイエナ	
22888900	グリザイユの牢獄	
22900219	ダイナレスラー・キメラ・Ｔレッスル	 ,type,include,LINK,fc,sumtype,tp__And,cat_Jap,include,ダイナレスラー
22900598	ヴァンパイア・シフト	 ,cat_Jap,include,ヴァンパイア__And,attribute,==,DARK
22908820	Ｅ・ＨＥＲＯ サンライザー	" ,cat_Jap,include,HERO
 ,attribute,==,attr,fc,sumtype,tp"
22910685	緑樹の霊王	
22916281	星杯に選ばれし者	
22923081	黒魔導戦士 ブレイカー	 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
22933016	Ａｉドリング・ボーン	" ,cat_Jap,include,@イグニスター
 ,cat_Jap,include,Ai__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
22953211	ベルキャットファイター	
22953212	ベルキャットトークン	
22959079	ワーム・ホール	
22991179	無視加護	 ,race,==,INSECT
22993208	炎王の急襲	 ,attribute,==,FIRE__And,race,==,BEAST
22996376	百獣王 ベヒーモス	 ,race,==,BEAST
23002292	レッド・リブート	 ,type,include,TRAP
23008320	コール・リゾネーター	 ,cat_Jap,include,リゾネーター__And,type,include,MONSTER
23015896	炎王神獣 ガルドニクス	 ,cat_Jap,include,炎王
23020408	魂のしもべ	And,(,1,.__ ,id,==,46986414__.,),1,.
23032273	メギラス・ライト	
23051413	ナチュル・スタッグ	 ,cat_Jap,include,ナチュル
23064604	冥帝エレボス	" ,cat_Jap,include,帝王__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,cat_Jap,include,帝王__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
 ,attack,>,2400"
23068051	幽麗なる幻滝	" ,race,==,WYRM
 ,race,==,WYRM"
23085002	Ｎｏ.６８ 魔天牢サンダルフォン	
23087070	ローズ・ウィッチ	
23093604	Ｘ－セイバー パシウル	
23115241	Ｘ－セイバー アナペレラ	
23116808	怨念の魂 業火	 ,attribute,==,FIRE
23116809	火の玉トークン	 ,attribute,==,FIRE
23118924	エレメント・デビル	
23122036	陰謀の盾	
23160024	アモルファスＰ	
23166823	影霊獣使い－セフィラウェンディ	 ,cat_Jap,include,セフィラ__And,type,include,PENDULUM
23168060	鍵戦士キーマン	
23171610	リミッター解除	 ,race,==,MACHINE
23187256	Ｎｏ.９３ 希望皇ホープ・カイザー	" ,type,include,XYZ,xyz,sumtype,tp__And,cat_Jap,include,No.
 ,attack,<,3000__ ,cat_Jap,include,No.
 ,type,include,XYZ__And,cat_Jap,include,No."
23204029	Ｃ・ＨＥＲＯ カオス	
23205979	魂を削る死霊	
23212990	六武式風雷斬	
23213239	激動の未界域	 ,cat_Jap,include,未界域__And,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,.
23220863	シュルブの魔導騎兵	 ,type,not include,PENDULUM
23232295	ＢＫ 拘束蛮兵リードブロー	 ,cat_Jap,include,BK
23234094	エヴォルダー・エリアス	 ,level,<,6__ ,race,==,DINOSAUR__And,attribute,==,FIRE
23265313	コストダウン	 ,level,>,1
23265594	強化支援メカ・ヘビーウェポン	
23269426	最期の同調	 ,id,==,code
23274061	エレキタリス	
23282832	オーバーリミット	 ,type,include,NORMAL
23289281	カラテマン	
23296404	イグナイト・アヴェンジャー	" ,cat_Jap,include,イグナイト
 ,cat_Jap,include,イグナイト
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
23297235	フレムベル・ヘルドッグ	 ,defense,<,200__ ,attribute,==,FIRE
23299957	ビークロイド・コネクション・ゾーン	
23303072	モンタージュ・ドラゴン	 ,type,include,MONSTER
23309606	炎獄魔人ヘル・バーナー	 ,attack,>,2000
23314220	ルドラの魔導書	
23323812	念導力	
23327298	パラレル・セレクト	" ,type,include,SYNCHRO
 ,type,include,SPELL"
23331400	リンク・ストリーマー	 ,race,==,CYBERSE
23331401	データトークン	 ,race,==,CYBERSE
23338098	Ａ ＢＦ－涙雨のチドリ	" ,type,include,MONSTER__And,cat_Jap,include,BF
 ,type,include,SYNCHRO__And,race,==,WINGEDBEAST"
23377694	ＥＭオオヤヤドカリ	" ,type,include,PENDULUM
 ,cat_Jap,include,EM
 ,(,1,.__ ,cat_Jap,include,EM__Or,cat_Jap,include,オッドアイズ__.,),1,."
